"start_id","seed","theta0_1","theta0_2","theta0_3","theta0_4","theta0_5","theta0_6","theta0_7","theta0_8","theta0_9","theta0_10","theta0_11","theta0_12"
"baseline_zeros",101,0,0,0,0,0,0,0,0,0,0,0,0
"population_informed",1101,0,0,0,0,0,0,-1.78168832088335,-0.0968003791484071,0.229787984342463,1.64915916592438,2.99546355862957,-6.90775527898214
"population_informed_b6",1201,0,0,0,0,0,0,-1.78168832088335,-0.0968003791484071,0.229787984342463,1.64915916592438,2.99546355862957,4.49980967033027
"population_informed_b6_c1",1301,2.07944154167984,0,0,0,0,0,-1.78168832088335,-0.0968003791484071,0.229787984342463,1.64915916592438,2.99546355862957,4.49980967033027
"warm_run7_derived_12p",1401,1.75388451679913,-2.50103603171788,-2.93746336543002,-0.765717873394781,2.01490302054226,-1.46967597005894,-1.77785656405906,-0.0932123817221787,0.249201085633499,1.69285952057317,2.71700994247368,4.72085324044883
"warm_12p_22p5",1501,1.7529,-2.5014,-2.9376,-0.7657,2.0149,-1.4697,-1.7778,-0.0932,0.2492,1.6931,2.7173,4.7208
"perturb_1",102,0.144418321455736,0.627787232081814,-1.08253165902975,1.58663856500792,0.990777363594206,0.960493916911508,0.716919907370511,0.202951804059632,0.439680272686928,1.5226968408129,1.15562689135226,0.0922366065087363
"perturb_2",103,-0.628778541118606,0.0437911235677383,-0.938048269856915,-0.133850238611812,-1.4920252667749,-0.096352196616251,0.660782978711575,0.952127629298155,-0.873161496608266,-0.300089919442915,-0.745775869790226,0.0265738262395071
"perturb_3",104,-0.277267164542344,0.50210873472227,0.515026514613273,-0.250045070452658,0.846304817692588,0.256165709758287,-0.0485817272532142,1.15848754460718,0.467255068411362,-0.435377703797345,0.74474478138344,-0.212582680143076
"perturb_4",105,-1.03481914427159,-0.372923469390013,0.107051368267433,1.03558350993938,0.0942722426646812,0.323592784011763,0.191128700456981,-0.649880030092487,0.29149341814277,-0.266019254371478,-0.900762621013608,-0.301853359537416
"perturb_5",106,-0.748048636809331,-0.424575119364238,-0.00523152615553675,0.508953838045701,-0.127036337282565,0.579773002522478,-0.601613217330482,1.05608118176893,1.68683381763538,0.295427536804204,-1.71762368485884,0.377104503635586
